Experiment metadata		
transcriber	Nisha Ann Viswan	
organization	NCBS	
emailId	nishaav@ncbs.res.in	
exptSource	Paper	
citationId	PMID: 9888852	
authors	Bhalla and Iyengar	
journal		
		
		
		
Experiment context		
exptType	TimeSeries	
species		
cell-types		
temperature-in-Celsius		
includePathway	Ca,PLCbeta,PLA2,PKC,PIP2,IP3,Ras,MAPK	
details		
notes		
		
Stimuli		
timeUnits	sec	
quantityUnits	uM	
entities	Ca	
field	conc	
Data		
Time	Value	
1000	10	
1000.2	9	
1000.4	8	
1000.8	7	
1001	4	
1002	1	
1003	0.92	
1004	0.8	
1005	0.7	
1006	0.6	
1007	0.5	
1008	0.48	
1010	0.42	
1012	0.38	
1014	0.32	
1016	0.28	
1018	0.22	
1020	0.18	
1022	0.12	
1032	0.1	
1036	0.08	
1600	10	
1600.2	9	
1600.4	8	
1600.8	7	
1601	4	
1602	1	
1603	0.92	
1604	0.8	
1605	0.7	
1606	0.6	
1607	0.5	
1608	0.48	
1610	0.42	
1612	0.38	
1614	0.32	
1616	0.28	
1618	0.22	
1620	0.18	
1622	0.12	
1632	0.1	
1636	0.08	
2200	10	
2200.2	9	
2200.4	8	
2200.8	7	
2201	4	
2202	1	
2203	0.92	
2204	0.8	
2205	0.7	
2206	0.6	
2207	0.5	
2208	0.48	
2210	0.42	
2212	0.38	
2214	0.32	
2216	0.28	
2218	0.22	
2220	0.18	
2222	0.12	
2232	0.1	
2236	0.08	
		
Readouts		
timeUnits	sec	
quantityUnits	uM	
useXlog	FALSE	
useYlog	FALSE	
useNormalization	FALSE	
settleTime	0	
ratioReferenceTime	0	
ratioReferenceEntities		
ratioReferenceDose	0	
entities	MAPK_p_p	
field	conc	
Data		
Time	Value	stderr
600	0.0001	0
1000	0.0002	0
1200	0.0005	0
1800	0.01	0
2400	0.03	0
3000	0.13	0
3600	0.18	0
4200	0.21	0
4800	0.22	0
		
Model mapping		
modelSource	Local path	
fileName	models/synSynth7.g	
citationId		
citation		
authors		
modelSubset	kinetics/Ca,Phosphatase,Gprotein,kinetics/mGluR,AC,PKA,PP2B,kinetics/PLC_g,Ras,MAPK/MAPK,kinetics/MAPK/,PP1,kinetics/CaM,kinetics/CaMKII,kinetics/mGluRAntag,PLCbeta,PLA2,PKC,PIP2,temp_PIP2,IP3,kinetics/EGFR,kinetics/Sos	
modelLookup	MAPK_p_p:MAPK/MAPK_p_p,Ca:Ca/Ca	
scoringFormula	abs((expt-sim)/(expt+sim+1e-9))	
itemstodelete	dephos_clus_S6K,dephos_S6K,Gab1,PI3K_basal,PI3K,PIP3,PTEN,SHC_p_Grb2_Gab1_PI3K_clx,PLCg_basal,basal_GEF_activity,Ras_GTP_PI3K,dephosp_S6K,bind_Gab1,PI3K_act,basal_PI3K_act,PI3K_bind_Ras_GTP,Dephos_AKTser473,Dephosph_AKTthr308,eEF2thr_56_dephospho,PP2A_4E_BP_p_p,PP2A_4E_BP_p,PP2A_4E_BP,PP2A_4EBP,CaMKIII_bind_CaM_Ca4,PLC_g_p_dephospho,Grb2_bind_SHC,PDK1/S6K_phospho,phospho_thr308,phosp_AKTser473,cluster_phospho_S6K,MAPK_4E_BP_p_p,MAPK_4E_BP_phospho,MEK_phospho,MEKp_phospho,PIP3_AKT_t308_s473,mGluR_barr2_Raf_scaffolding,mGluR_dephosph	
solver	Runge kutta method (gsl)	
notes	Bhalla1999_Fig4C	
parameterChange		
Object	parameter	value
Ca/Ca	concInit	0.00008
Ca/Ca	isBuffered	1
Phosphatase/MKP_1	concInit	0.000002
Ras/Ras_act_craf	Kf	24000
Ras/CaM_bind_GEF	Kf	60000
MAPK/MAPK	concInit	0.00036
MAPK/MAPKK_p_p/MAPKKthr	kcat	0.15
MAPK/MAPKK_p_p/MAPKKtyr	kcat	0.15
MAPK/Raf_p_GTP_Ras/Raf_p_GTP_Ras.1	kcat	0.105
MAPK/Raf_p_GTP_Ras/Raf_p_GTP_Ras.2	kcat	0.105
Phosphatase/MKP_1/MKP1_thr_deph	kcat	1
Phosphatase/MKP_1/MKP1_tyr_deph	kcat	1
Phosphatase/MKP_1/MKP1_thr_deph	Km	0.0000697
Phosphatase/MKP_1/MKP1_tyr_deph	Km	0.0000697
EGFR/L.EGFR/SHC_phospho	Km	0.000871
Sos/SHC_p_dephospho	Kf	0.00167
Sos/SHC_p.Sos.Grb2/Sos.Ras_GEF	kcat	0.02
PKC/PKC_active/PKC_act_raf	Km	0.0697
Ras/CaM_GEF/CaM_GEF_act_Ras	kcat	0.02
PKC/PKC_basal_p	concInit	0
MAPK/craf_1	concInit	0.0002
MAPK/MAPKK	concInit	0.00018
Phosphatase/PP2A	concInit	0.00012
Phosphatase/PPhosphatase2A	concInit	0.000224
PIP2	concInit	0.01
DAG	isBuffered	0
Arachidonic_Acid	isBuffered	0
Arachidonic_Acid	concInit	0
DAG	concInit	0
PLC_g/PLC_g	concInit	0.00082
Ras/GAP	concInit	0.000002
Ras/GDP_Ras	concInit	0.0002
