Experiment metadata		
transcriber	Upi	
organization	NCBS	
emailId	bhalla@ncbs.res.in	
exptSource	None
citationId	None
authors	None
journal	None. This is a purely fictional _experiment_ for the purposes of testing findSim
		
		
Experiment context		
exptType	TimeSeries	
species	rat	
cell-types	hippocampal CA1 pyramidal neuron	
temperature (Celsius)	30	
Include	all	
details		
notes	HFS, LTP	

Stimuli		
compartment dend
timeUnits	sec	
quantityUnits	Hz	
entities	synInput	
field		rate	
Data		
Time	Value	
0	0

Stimuli		
compartment	dend	
timeUnits	sec	
quantityUnits	ratio	
entities	synapse	
field	weight	
Data		
Time	Value	
0	1	
12	0.2	
		
Stimuli		
timeUnits	sec	
quantityUnits	mV	
entities	soma	
field		Vclamp	
Data		
Time	Value	
0	-65
10	0	
11	-65
		
		
Readouts		
timeUnits	sec	
quantityUnits	pA	
useXlog	FALSE	
useYlog	FALSE	
entities	vclamp	
field	EPSC_peak	
useNormalization	FALSE	
Data		
Time	Value	stderr
4	40	0
8	50	0
15	65	0
20	130	0
		
Model mapping		
modelSource	internal	
fileName	models/plastic8.py	
citationId		
citation		
authors		
modelSubset	all	
modelLookup	soma:elec/soma,synInput:synInput,synapse:head0/glu/sh/synapse
scoringFormula	abs((expt-sim)/(datarange+1e-12))	
solver	none	
notes		
